#*****Detector Channels*****
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Band ID           | Pixel ID          | Band Center       | Fractional BW     | Pixel Size        | Num Det per Wafer | Num Waf per OT    | Num OT            | Waist Factor      | Det Eff           | Psat              | Psat Factor       | Carrier Index     | Tc                | Tc Fraction       | Flink             | Yield             | SQUID NEI         | Bolo Resistance   | Read Noise Frac   | G                
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                 | NA                | [GHz]             | NA                | [mm]              | NA                | NA                | NA                | NA                | NA                | [pW]              | NA                | NA                | [K]               | NA                | NA                | NA                | [pA/rtHz]         | [Ohms]            | NA                | [pW/K]           
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1                 | 1                 | BAND              | NA                | 80.000             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2                 | 1                 | BAND              | NA                | 20.000             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3                 | 1                 | BAND              | NA                | 10.000             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4                 | 1                 | BAND              | NA                | 6.667             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5                 | 1                 | BAND              | NA                | 4.000             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6                 | 1                 | BAND              | NA                | 2.667             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
7                 | 1                 | BAND              | NA                | 1.600             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8                 | 1                 | BAND              | NA                | 1.143             | 1                 | 1                 | 1                 | 3.000             | NA                | NA                | 3.000             | 2.700             | 0.159             | NA                | 1.000             | 1                 | 45.000             | 0.004             | NA                | NA               
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
